
 OVO Algorithm for Measles

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
    42             1        1.129051E-01      2.078348E-03       4
    43             1        1.128938E-01      1.998642E-03       4
    44             1        1.128834E-01      1.924809E-03       4
    45            12        1.119841E-01      2.281691E+00       3
    46            15        1.115473E-01      2.677211E+00       1
    47            19        1.115202E-01      2.668217E+00       1
    48             3        1.097507E-01      1.073146E-01       3
    49            17        1.090045E-01      9.572546E+00       1
    50            13        1.087874E-01      9.548569E-01       3
    51             2        1.085814E-01      2.152970E-02       4
    52             2        1.084490E-01      1.956289E-02       3
    53            19        1.084263E-01      2.435951E+00       1
    54            15        1.083726E-01      9.384520E-01       2
    55             2        1.082597E-01      1.796736E-02       3
    56             2        1.081621E-01      1.662170E-02       3
    57            19        1.081404E-01      2.384488E+00       2
    58            15        1.080920E-01      8.903485E-01       2
    59             2        1.080064E-01      1.548908E-02       3
    60             2        1.079307E-01      1.450373E-02       3
    61            19        1.079098E-01      2.346215E+00       2
    62            15        1.078656E-01      8.509292E-01       2
    63             2        1.077979E-01      1.365341E-02       3
    64             1        1.077592E-01      5.576204E-04       4
 -------------------------------------------------------------------

 Number of outliers:  2
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.077415E-01            -            4
     1             1        1.077381E-01      5.524105E-04       4
 -------------------------------------------------------------------

 Number of outliers:  3
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.077008E-01            -            4
     1             2        1.077007E-01      5.472971E-04       4
 -------------------------------------------------------------------

 Number of outliers:  4
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.076583E-01            -            3
     1             1        1.059314E-01      5.167634E-03       3
     2             1        1.059278E-01      1.411849E-03       5
     3             1        1.059244E-01      1.379852E-03       5
     4             1        1.059212E-01      1.349277E-03       5
     5             1        1.059181E-01      1.320031E-03       5
     6             1        1.059151E-01      1.292031E-03       5
     7             1        1.059123E-01      1.265197E-03       5
     8             1        1.059096E-01      1.239458E-03       5
     9             1        1.059070E-01      1.214748E-03       5
    10             1        1.059045E-01      1.191008E-03       5
    11             1        1.059021E-01      1.168181E-03       5
    12             1        1.058998E-01      1.146214E-03       5
    13             1        1.058976E-01      1.125062E-03       5
    14             1        1.058954E-01      1.104678E-03       5
    15             1        1.058934E-01      1.085022E-03       5
    16             1        1.058914E-01      1.066055E-03       5
    17             1        1.058895E-01      1.047742E-03       5
    18             1        1.058877E-01      1.030050E-03       5
    19             1        1.058859E-01      1.012947E-03       5
    20             1        1.058842E-01      9.964049E-04       5
 -------------------------------------------------------------------

 OVO Algorithm for Rubella

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        4.999663E-01            -            4
     1             1        4.999481E-01      3.174588E-03       4
     2             1        4.999053E-01      4.732289E-03       4
     3             1        4.997587E-01      8.206101E-03       3
     4             1        4.985987E-01      1.907831E-02       2
     5             1        3.152727E-01      1.123095E-01       1
     6             8        1.918769E-01      4.262005E+00       1
     7            11        1.881982E-01      7.796771E+00       1
     8            12        1.650648E-01      8.531221E+00       1
     9            17        1.643452E-01      9.164720E+00       1
    10            13        1.637687E-01      6.825246E+00       1
    11            14        1.613166E-01      8.800652E+00       1
    12            15        1.582932E-01      8.085206E+00       1
    13            18        1.578614E-01      8.846537E+00       1
    14            20        1.578191E-01      7.933324E+00       1
    15             3        1.407168E-01      9.742026E-02       2
    16            12        1.231454E-01      9.375748E+00       1
    17            13        1.184719E-01      8.634263E+00       1
    18            14        1.162636E-01      1.083454E+01       1
    19            14        1.154669E-01      8.614610E+00       1
    20            15        1.127145E-01      1.057142E+01       1
    21            16        1.120061E-01      8.599085E+00       1
    22            19        1.118116E-01      8.992713E+00       1
    23            21        1.117851E-01      1.025260E+01       1
    24             9        1.108969E-01      4.842115E-01       2
    25            21        1.108581E-01      8.967270E+00       1
    26            13        1.108017E-01      4.805784E-01       2
    27             3        1.104930E-01      4.872759E-02       3
    28            19        1.103534E-01      8.679786E+00       1
    29            20        1.103022E-01      5.184392E+00       1
    30            16        1.102302E-01      1.535246E+00       2
    31             4        1.101257E-01      4.202841E-02       3
    32            14        1.101139E-01      7.413842E-01       3
    33            20        1.100787E-01      6.938164E+00       2
    34            14        1.100561E-01      4.306951E-01       2
    35             3        1.100406E-01      9.758518E-03       3
    36             3        1.100275E-01      9.389873E-03       3
    37             3        1.100152E-01      9.046788E-03       3
    38             3        1.100038E-01      8.726755E-03       3
    39            15        1.099736E-01      7.126666E-01       2
    40             3        1.099620E-01      8.439385E-03       3
    41             3        1.099519E-01      8.158390E-03       3
    42             3        1.099424E-01      7.894690E-03       3
    43             3        1.099334E-01      7.646773E-03       3
    44             3        1.099250E-01      7.413293E-03       3
    45            20        1.099204E-01      6.555058E+00       2
    46            15        1.098921E-01      6.813651E-01       2
    47             1        1.098604E-01      7.201485E-03       3
    48             2        1.098497E-01      6.396446E-03       3
    49             2        1.098402E-01      6.066633E-03       3
    50            20        1.098251E-01      6.351800E+00       2
    51             1        1.097639E-01      5.767294E-03       3
    52             2        1.097596E-01      5.235513E-03       3
    53             2        1.097557E-01      5.009678E-03       3
    54             2        1.097519E-01      4.801976E-03       3
    55             2        1.097484E-01      4.610338E-03       3
    56             2        1.097450E-01      4.432993E-03       3
    57             2        1.097418E-01      4.268420E-03       3
    58             2        1.097388E-01      4.115305E-03       3
    59             2        1.097359E-01      3.972507E-03       3
    60            20        1.097223E-01      6.090641E+00       2
    61            14        1.096829E-01      5.680780E-01       2
    62             1        1.096694E-01      3.845662E-03       3
    63             2        1.096660E-01      3.598348E-03       3
    64             2        1.096627E-01      3.487907E-03       3
    65             2        1.096597E-01      3.383877E-03       3
    66             2        1.096568E-01      3.285721E-03       3
    67             2        1.096540E-01      3.192962E-03       3
    68             2        1.096514E-01      3.105172E-03       3
    69             2        1.096489E-01      3.021967E-03       3
    70             2        1.096465E-01      2.943000E-03       3
    71             2        1.096443E-01      2.867961E-03       3
    72             2        1.096421E-01      2.796565E-03       3
    73             2        1.096401E-01      2.728557E-03       3
    74             2        1.096381E-01      2.663705E-03       3
    75             2        1.096362E-01      2.601796E-03       3
    76             2        1.096344E-01      2.542636E-03       3
    77             2        1.096327E-01      2.486048E-03       3
    78             2        1.096310E-01      2.431870E-03       3
    79             2        1.096294E-01      2.379953E-03       3
    80             2        1.096279E-01      2.330159E-03       3
    81             2        1.096264E-01      2.282363E-03       3
    82             2        1.096249E-01      2.236447E-03       3
    83             2        1.096236E-01      2.192305E-03       3
    84             2        1.096222E-01      2.149836E-03       3
    85             2        1.096210E-01      2.108948E-03       3
    86             2        1.096197E-01      2.069555E-03       3
    87             2        1.096185E-01      2.031577E-03       3
    88            20        1.096042E-01      5.848973E+00       2
    89             1        1.095968E-01      1.994494E-03       3
    90             1        1.095899E-01      1.924366E-03       3
    91             1        1.095834E-01      1.858933E-03       3
    92             1        1.095774E-01      1.797741E-03       3
    93             1        1.095718E-01      1.740394E-03       3
    94             1        1.095666E-01      1.686543E-03       3
    95             1        1.095617E-01      1.635879E-03       3
    96             1        1.095571E-01      1.588130E-03       3
    97             1        1.095527E-01      1.543052E-03       3
    98             1        1.095486E-01      1.500429E-03       3
    99             1        1.095448E-01      1.460067E-03       3
